year,avg_temp
1904/10/15,8.72
1904/10/16,7.98
1904/10/17,5.78
1904/10/18,8.39
1904/10/19,8.47
1904/10/20,8.36
1904/10/21,8.85
1904/10/22,9.02
1904/10/23,6.74
1904/10/24,7.99
1904/10/25,7.19
1904/10/26,8.77
1904/10/27,8.61
1904/10/28,7.5
1904/10/29,8.4
1904/10/30,8.25
1904/10/31,8.41
1904/11/1,8.22
1904/11/2,6.78
1904/11/3,7.69
1904/11/4,7.69
1904/11/5,7.85
1904/11/6,8.19
1904/11/7,8.22
1904/11/8,8.77
1904/11/9,9.18
1904/11/10,8.3
1904/11/11,8.26
1904/11/12,8.54
1904/11/13,8.98
1904/11/14,9.43
1904/11/15,8.1
1904/11/16,7.9
1904/11/17,7.68
1904/11/18,7.86
1904/11/19,7.36
1904/11/20,8.26
1904/11/21,8.03
1904/11/22,8.45
1904/11/23,8.33
1904/11/24,7.98
1904/11/25,8.23
1904/11/26,8.09
1904/11/27,8.23
1904/11/28,8.53
1904/11/29,8.35
1904/11/30,8.27
1904/12/1,8.51
1904/12/2,8.67
1904/12/3,8.51
1904/12/4,8.48
1904/12/5,8.59
1904/12/6,8.58
1904/12/7,8.5
1904/12/8,8.84
1904/12/9,8.56
1904/12/10,8.43
1904/12/11,8.28
1904/12/12,7.63
1904/12/13,7.08
1904/12/14,6.92
1904/12/15,6.86
1904/12/16,7.05
1904/12/17,7.74
1904/12/18,7.59
1904/12/19,7.24
1904/12/20,6.94
1904/12/21,6.98
1904/12/22,7.83
1904/12/23,7.37
1904/12/24,7.62
1904/12/25,8.09
1904/12/26,8.19
1904/12/27,7.72
1904/12/28,8.55
1904/12/29,8.39
1904/12/30,8.36
1904/12/31,8.81
1905/1/1,8.17
1905/1/2,7.94
1905/1/3,8.52
1905/1/4,7.64
1905/1/5,7.45
1905/1/6,8.01
1905/1/7,8.15
1905/1/8,7.39
1905/1/9,7.7
1905/1/10,7.38
1905/1/11,7.51
1905/1/12,7.63
1905/1/13,7.8
1905/1/14,7.69
1905/1/15,8.02
1905/1/16,8.17
1905/1/17,7.65
1905/1/18,7.85
1905/1/19,8.55
1905/1/20,8.09
1905/1/21,7.98
1905/1/22,7.98
1905/1/23,7.9
1905/1/24,8.18
1905/1/25,8.1
1905/1/26,8.04
1905/1/27,8.21
1905/1/28,8.11
1905/1/29,8
1905/1/30,7.76
1905/1/31,8.1
1905/2/1,8.25
1905/2/2,7.96
1905/2/3,7.85
1905/2/4,7.56
1905/2/5,8.11
1905/2/6,7.98
1905/2/7,8.18
1905/2/8,8.29
1905/2/9,8.44
1905/2/10,8.25
1905/2/11,8.43
1905/2/12,8.2
1905/2/13,8.12
1905/2/14,8.19
1905/2/15,8.35
1905/2/16,8.43
1905/2/17,7.86
1905/2/18,8.08
1905/2/19,8.54
1905/2/20,8.83
1905/2/21,8.17
1905/2/22,8.12
1905/2/23,8.27
1905/2/24,8.13
1905/2/25,7.98
1905/2/26,7.77
1905/2/27,7.92
1905/2/28,7.95
1905/3/1,7.91
1905/3/2,8.09
1905/3/3,8.32
1905/3/4,7.97
1905/3/5,8.02
1905/3/6,8.07
1905/3/7,8.06
1905/3/8,8.16
1905/3/9,8.15
1905/3/10,8.21
1905/3/11,8.29
1905/3/12,8.18
1905/3/13,8.4
1905/3/14,8.5
1905/3/15,8.54
1905/3/16,8.3
1905/3/17,8.22
1905/3/18,8.09
1905/3/19,8.23
1905/3/20,8.38
1905/3/21,7.95
1905/3/22,8.19
1905/3/23,8.18
1905/3/24,8.22
1905/3/25,8.18
1905/3/26,8.17
1905/3/27,8.3
1905/3/28,8.59
1905/3/29,8.59
1905/3/30,8.23
1905/3/31,8.02
1905/4/1,8.13
1905/4/2,8.38
1905/4/3,8.36
1905/4/4,8.57
1905/4/5,8.41
1905/4/6,8.42
1905/4/7,8.51
1905/4/8,8.53
1905/4/9,8.73
1905/4/10,8.52
1905/4/11,8.63
1905/4/12,8.24
1905/4/13,8.63
1905/4/14,8.72
1905/4/15,8.71
1905/4/16,8.34
1905/4/17,8.63
1905/4/18,8.52
1905/4/19,8.55
1905/4/20,8.7
1905/4/21,8.86
1905/4/22,8.76
1905/4/23,8.76
1905/4/24,8.77
1905/4/25,8.73
1905/4/26,8.76
1905/4/27,8.85
1905/4/28,8.58
1905/4/29,8.68
1905/4/30,8.8
1905/5/1,8.75
1905/5/2,8.59
1905/5/3,8.37
1905/5/4,8.63
1905/5/5,8.64
1905/5/6,8.87
1905/5/7,8.56
1905/5/8,8.63
1905/5/9,8.28
1905/5/10,8.73
1905/5/11,8.77
1905/5/12,8.73
1905/5/13,8.58
1905/5/14,8.8
1905/5/15,8.75
1905/5/16,8.86
1905/5/17,8.41
1905/5/18,8.53
1905/5/19,8.6
1905/5/20,8.7
1905/5/21,8.52
1905/5/22,8.6
1905/5/23,8.7
1905/5/24,8.6
1905/5/25,8.5
1905/5/26,8.95
1905/5/27,8.47
1905/5/28,8.74
1905/5/29,8.35
1905/5/30,8.85
1905/5/31,8.69
1905/6/1,8.73
1905/6/2,8.98
1905/6/3,9.17
1905/6/4,8.64
1905/6/5,9.03
1905/6/6,8.69
1905/6/7,8.66
1905/6/8,8.83
1905/6/9,8.99
1905/6/10,9.2
1905/6/11,8.92
1905/6/12,9.23
1905/6/13,9.18
1905/6/14,8.84
1905/6/15,8.87
1905/6/16,9.04
1905/6/17,9.35
1905/6/18,9.04
1905/6/19,9.2
1905/6/20,9.52
1905/6/21,9.29
1905/6/22,9.2
1905/6/23,9.41
1905/6/24,9.57
1905/6/25,9.53
1905/6/26,9.32
1905/6/27,9.7
1905/6/28,9.53
1905/6/29,9.73
1905/6/30,9.43
1905/7/1,9.51
1905/7/2,9.7
1905/7/3,9.52
1905/7/4,9.51
1905/7/5,9.61
1905/7/6,9.57
1905/7/7,9.83
